"","File","Distance","Experiment","Population"
"350","results_simple_16_2_random_4.txt",6,"Evostar","16"
"351","results_simple_16_2_random_4.txt",6,"Evostar","16"
"352","results_simple_16_2_random_4.txt",6,"Evostar","16"
"353","results_simple_16_2_random_4.txt",4,"Evostar","16"
"354","results_simple_16_2_random_4.txt",3,"Evostar","16"
"355","results_simple_16_2_random_4.txt",5,"Evostar","16"
"356","results_simple_16_2_random_4.txt",7,"Evostar","16"
"357","results_simple_16_2_random_4.txt",5,"Evostar","16"
"358","results_simple_16_2_random_4.txt",4,"Evostar","16"
"359","results_simple_16_2_random_4.txt",8,"Evostar","16"
"360","results_simple_16_2_random_4.txt",5,"Evostar","16"
"361","results_simple_16_2_random_10.txt",0,"Evostar","16"
"362","results_simple_16_2_random_10.txt",4,"Evostar","16"
"363","results_simple_16_2_random_10.txt",2,"Evostar","16"
"364","results_simple_16_2_random_10.txt",2,"Evostar","16"
"365","results_simple_16_2_random_10.txt",1,"Evostar","16"
"366","results_simple_16_2_random_10.txt",2,"Evostar","16"
"367","results_simple_16_2_random_10.txt",2,"Evostar","16"
"368","results_simple_16_2_random_10.txt",3,"Evostar","16"
"369","results_simple_16_2_random_10.txt",4,"Evostar","16"
"370","results_simple_16_2_random_10.txt",3,"Evostar","16"
"371","results_simple_16_2_random_10.txt",4,"Evostar","16"
"372","results_simple_16_2_random_10.txt",4,"Evostar","16"
"373","results_simple_16_2_random_10.txt",3,"Evostar","16"
"374","results_simple_16_2_random_10.txt",3,"Evostar","16"
"375","results_simple_16_2_random_10.txt",3,"Evostar","16"
"376","results_simple_16_2_random_10.txt",4,"Evostar","16"
"377","results_simple_16_2_random_10.txt",0,"Evostar","16"
"378","results_simple_16_2_random_10.txt",6,"Evostar","16"
"379","results_simple_16_2_random_10.txt",6,"Evostar","16"
"380","results_simple_16_2_random_10.txt",5,"Evostar","16"
"381","results_simple_16_2_random_10.txt",4,"Evostar","16"
"382","results_simple_16_2_random_10.txt",4,"Evostar","16"
"383","results_simple_16_2_random_10.txt",7,"Evostar","16"
"384","results_simple_16_2_random_10.txt",6,"Evostar","16"
"385","results_simple_16_2_random_10.txt",5,"Evostar","16"
"386","results_simple_16_2_random_10.txt",6,"Evostar","16"
"387","results_simple_16_2_random_10.txt",6,"Evostar","16"
"388","results_simple_16_2_random_10.txt",5,"Evostar","16"
"389","results_simple_16_2_random_10.txt",5,"Evostar","16"
"390","results_simple_16_2_random_10.txt",2,"Evostar","16"
"391","results_simple_16_2_random_10.txt",6,"Evostar","16"
"392","results_simple_16_2_random_10.txt",0,"Evostar","16"
"393","results_simple_16_2_random_10.txt",2,"Evostar","16"
"394","results_simple_16_2_random_10.txt",1,"Evostar","16"
"395","results_simple_16_2_random_10.txt",2,"Evostar","16"
"396","results_simple_16_2_random_10.txt",2,"Evostar","16"
"397","results_simple_16_2_random_10.txt",3,"Evostar","16"
"398","results_simple_16_2_random_10.txt",4,"Evostar","16"
"399","results_simple_16_2_random_10.txt",3,"Evostar","16"
"400","results_simple_16_2_random_10.txt",4,"Evostar","16"
"401","results_simple_16_2_random_10.txt",4,"Evostar","16"
"402","results_simple_16_2_random_10.txt",3,"Evostar","16"
"403","results_simple_16_2_random_10.txt",2,"Evostar","16"
"404","results_simple_16_2_random_10.txt",6,"Evostar","16"
"405","results_simple_16_2_random_10.txt",2,"Evostar","16"
"406","results_simple_16_2_random_10.txt",0,"Evostar","16"
"407","results_simple_16_2_random_10.txt",1,"Evostar","16"
"408","results_simple_16_2_random_10.txt",2,"Evostar","16"
"409","results_simple_16_2_random_10.txt",2,"Evostar","16"
"410","results_simple_16_2_random_10.txt",3,"Evostar","16"
"411","results_simple_16_2_random_10.txt",4,"Evostar","16"
"412","results_simple_16_2_random_10.txt",3,"Evostar","16"
"413","results_simple_16_2_random_10.txt",4,"Evostar","16"
"414","results_simple_16_2_random_10.txt",2,"Evostar","16"
"415","results_simple_16_2_random_10.txt",1,"Evostar","16"
